21,5
10,22
8,25
8,24
15,4
17,11
13,4
24,17
10,20
24,19
5,1
24,13
3,14
1,0
0,25
21,6
15,6
8,23
2,5
5,23
15,16
6,6
7,15
19,13
11,0
16,3
6,13
14,20
12,22
2,25
17,20
24,10
7,10
23,20
5,12
22,11
18,7
5,1
2,24
20,20
8,16
14,11
16,24
8,1
3,12
6,20
8,15
21,1
0,23
5,13
17,23
6,5
13,20
19,6
18,3
11,0
4,12
24,23
3,16
2,7
1,0
22,24
7,3
21,4
19,3
24,17
4,23
18,16
20,6
17,0
13,23
22,12
15,2
17,25
9,12
23,6
15,4
9,25
12,9
11,16
12,13
19,6
10,6
5,25
22,22
24,24
5,7
21,8
1,3
3,13
14,14
6,21
16,15
23,16
9,10
24,8
1,7
22,10
4,20
10,1
4,6
25,18
20,4
6,0
5,1
0,5
5,20
14,17
19,3
24,21
2,10
4,6
9,23
20,6
22,22
25,4
9,5
18,14
10,19
10,25
10,18
19,6
14,20
15,12
8,10
17,22
3,12
9,6
13,13
18,20
15,2
22,4
2,3
5,0
20,11
8,19
9,17
1,10
18,21
17,13
12,0
7,8
12,25
4,7
6,9
4,10
22,7
5,12
2,16
5,18
4,8
23,10
3,1
2,21
10,1
9,17
23,17
10,13
20,24
19,23
20,24
2,9
9,6
15,23
24,9
8,15
1,13
13,6
23,22
12,14
18,16
2,8
18,13
12,3
15,14
19,10
10,12
12,13
1,3
11,2
25,4
10,8
17,11
6,0
20,13
0,5
24,4
4,23
11,9
19,16
4,19
13,16
19,7
1,12
1,15
24,10
12,14
22,1
17,17
0,23
7,8
24,13
